nom;code
L ABERGEMENT DE VAREY;1640
AMBERIEUX EN DOMBES;1330
AMBLEON;1300
AMBUTRIX;1500
ANDERT ET CONDON;1300
ARANC;1110
ARBOYS EN BUGEY;1300
ARBIGNY;1190
ARMIX;1510
ATTIGNAT;1340
BAGE LE CHATEL;1380
VALSERHONE;1200
VALROMEY SUR SERAN;1260
BENONCES;1470
BETTANT;1500
BILLIAT;1200
BLYES;1150
BOISSEY;1380
BRESSOLLES;1360
BUELLAS;1310
LA BURBANCHE;1510
CEIGNES;1430
CHALAMONT;1320
CHAMPDOR CORCELLES;1110
CHAMPDOR CORCELLES;1110
NIVIGNE ET SURAN;1250
CHAZEY BONS;1300
CHAZEY SUR AIN;1150
CHEVILLARD;1430
CHEVROUX;1190
COLLONGES;1550
CONAND;1230
CROTTET;1290
CURTAFOND;1310
DAGNEUX;1120
DOUVRES;1500
ECHALLON;1130
FARAMANS;1800
FLAXIEU;1350
GENOUILLEUX;1090
HAUTECOURT ROMANECHE;1250
HAUT VALROMEY;1260
HAUT VALROMEY;1260
LABALME;1450
LAVOURS;1350
LEYMENT;1150
SURJOUX LHOPITAL;1420
MAGNIEU;1300
MANTENAY MONTLIN;1560
MARBOZ;1851
MIJOUX;1410
MIRIBEL;1700
LE MONTELLIER;1800
MONTLUEL;1120
MONTMERLE SUR SAONE;1090
MONTREAL LA CLUSE;1460
MURS ET GELIGNIEUX;1300
ORNEX;1210
OYONNAX;1100
OYONNAX;1100
PEROUGES;1800
PEYRIAT;1430
POLLIEU;1350
PONT D AIN;1160
PORT;1460
PREMILLIEU;1110
PREVESSIN MOENS;1280
REYSSOUZE;1190
ST ALBAN;1450
ST ANDRE D HUIRIAT;1290
GROSLEE ST BENOIT;1300
ST ETIENNE DU BOIS;1370
ST ETIENNE SUR REYSSOUZE;1190
STE EUPHEMIE;1600
ST GENIS SUR MENTHON;1380
ST GERMAIN SUR RENON;1240
ST JEAN DE THURIGNEUX;1390
ST JEAN SUR VEYLE;1290
STE OLIVE;1330
ST SORLIN EN BUGEY;1150
SEILLONNAZ;1470
SEYSSEL;1420
TALISSIEU;1510
VESANCY;1170
VESINES;1570
VILLEBOIS;1150
VILLIEU LOYES MOLLON;1800
VIRIEU LE GRAND;1510
VIRIGNIN;1300
ABBECOURT;2300
ACHERY;2800
ANDELAIN;2800
ANY MARTIN RIEUX;2500
ARTEMPS;2480
ATTILLY;2490
AUBIGNY AUX KAISNES;2590
BAGNEUX;2290
BARENTON SUR SERRE;2270
BAZOCHES ET ST THIBAUT;2220
BEAUVOIS EN VERMANDOIS;2590
BELLENGLISE;2420
BENAY;2440
BERRY AU BAC;2190
BERTAUCOURT EPOURDON;2800
BESME;2300
BEUGNEUX;2210
BICHANCOURT;2300
BIEUXY;2290
BOIS LES PARGNY;2270
BOUCONVILLE VAUCLAIR;2860
BOURESCHES;2400
BRISSY HAMEGICOURT;2240
BRUMETZ;2810
BRUNEHAMEL;2360
BUCY LE LONG;2880
CAILLOUEL CREPIGNY;2300
CAMELIN;2300
CERNY EN LAONNOIS;2860
CHAMBRY;2000
CHAOURSE;2340
CHARMES;2800
CHAUDUN;2200
CHAUNY;2300
CHEZY EN ORXOIS;2810
CHIVY LES ETOUVELLES;2000
CIRY SALSOGNE;2220
CLASTRES;2440
COLONFAY;2120
COMMENCHON;2300
CONDE SUR SUIPPE;2190
CORBENY;2820
COURCHAMPS;2810
COURTEMONT VARENNES;2850
CRAMAILLE;2130
CREPY;2870
LA CROIX SUR OURCQ;2210
CROUTTES SUR MARNE;2310
CROUY;2880
DALLON;2680
DERCY;2270
DOHIS;2360
DRAVEGNY;2130
DROIZY;2210
DURY;2480
EPAUX BEZU;2400
